Canadian Food,US Matches 
"Lotus root, raw","Mushrooms, raw(68.97% match #75115000); "
"Lotus root, boiled, drained","Lobster, coated, fried(61.22% match #26311140); "
"Mushroom, boiled, drained","Mushrooms, batter-dipped, fried(71.43% match #75414030); Mushrooms, pickled(65.12% match #75505000); Squash, baby food, strained(61.54% match #76205010); "
"Mushroom, shiitake, dried","Mushroom, Asian, cooked, from dried(73.33% match #75219100); Mushrooms, stuffed(65.12% match #75414020); Mushrooms, pickled(65.12% match #75505000); "
"Mushroom, shiitake, cooked","Mushroom, Asian, cooked, from dried(68.85% match #75219100); Roe, shad, cooked(65.12% match #26207110); Mushrooms, stuffed(63.64% match #75414020); "
"Mustard greens, raw","Mustard greens, raw(100.0% match #72122100); Mixed salad greens, raw(76.19% match #75114000); Peas, green, raw(68.57% match #75120000); "
"Mustard greens, boiled, drained","Mustard greens, raw(72.0% match #72122100); "
"Mustard greens, frozen, unprepared","Mustard greens, raw(67.92% match #72122100); Mushrooms, from frozen, creamed(61.54% match #75414012); Turnips, from frozen, creamed(60.32% match #75418102); "
"Mustard greens, frozen, boiled, drained","Mustard greens, raw(62.07% match #72122100); Mustard greens, cooked, from frozen, fat added in cooking(60.42% match #72122222); "
"Mustard spinach (tendergreen), raw","Mustard greens, raw(67.92% match #72122100); "
"Mustard spinach (tendergreen), boiled, drained",
"New Zealand spinach, raw","Calamondin, raw(61.54% match #61100500); Spinach, raw(61.11% match #72125100); "
"New Zealand spinach, boiled, drained","Pears and pineapple, baby food, strained(60.53% match #67114010); "
"Okra (gumbo), raw","Orange, raw(64.29% match #61119010); "
"Okra (gumbo), boiled, drained",
"Okra (gumbo), frozen, unprepared",
"Okra (gumbo), frozen, boiled, drained",
"Onion, dehydrated flakes","Onion, dehydrated(82.93% match #75221100); "
"Onion, canned, solids and liquid",
"Onion, frozen, chopped, unprepared",
"Onion, frozen, chopped, boiled, drained","Onion rings, from frozen, batter-dipped, baked or fried(61.7% match #75415022); "
"Onion, frozen, whole, unprepared","Onions, from fresh, creamed(61.02% match #75415011); "
"Onion, frozen, whole, boiled, drained",
"Onion, spring (green) or scallion (includes tops and bulb), raw",
"Onion, Welsh, raw","Onions, mature, raw(72.22% match #75117020); Onion, dehydrated(64.71% match #75221100); Onions, from fresh, creamed(63.64% match #75415011); "
"Peas, edible-podded (snow peas), boiled, drained",
"Peas, edible-podded (snow peas), frozen, unprepared",
"Peas, edible-podded (snow peas), frozen, boiled, drained",
"Peas, green, canned, solids and liquid","Peas, green, canned, low sodium, fat added in cooking(65.93% match #75224130); "
"Peas, green, canned, seasoned, solids and liquid","Peas, green, canned, low sodium, fat added in cooking(63.37% match #75224130); "
"Peas, green, frozen, unprepared","Peas, from frozen, creamed(73.68% match #75417012); Peas and carrots, from frozen, creamed(60.87% match #73111032); "
"Peas, mature seeds, sprouted, raw",
"Peas, mature seeds, sprouted, boiled, drained",
"Peas and carrots, canned, solids and liquid","Peas and carrots, canned, low sodium, fat added in cooking(69.31% match #73111260); Peas and carrots, canned, low sodium, fat not added in cooking(66.67% match #73111270); "
"Peas and carrots, frozen, unprepared","Peas and carrots, from frozen, creamed(83.78% match #73111032); Peas and carrots, from canned, creamed(78.38% match #73111033); Peas, from frozen, creamed(67.74% match #75417012); "
"Peas and carrots, frozen, boiled, drained","Peas and carrots, from canned, creamed(75.95% match #73111033); Peas and carrots, cooked, from frozen, fat added in cooking(62.0% match #73111222); "
"Peas and onions, canned, solids and liquid","Peas and onions, cooked, fat added in cooking(64.37% match #75315120); "
"Peas and onions, frozen, unprepared","Peas and carrots, from frozen, creamed(71.23% match #73111032); Peas and carrots, from canned, creamed(65.75% match #73111033); Peas, from frozen, creamed(65.57% match #75417012); "
"Peas and onions, frozen, boiled, drained","Peas and carrots, from canned, creamed(64.1% match #73111033); Peas and onions, cooked, fat added in cooking(61.18% match #75315120); Squash and corn, baby food, strained(60.53% match #76205030); "
"Pepper, hot chili, red or green, canned, solids and liquid",
"Pepper, sweet, green, canned, solids and liquid","Pepper, sweet, green, raw(63.89% match #75122100); "
"Peas, pigeon, raw","Peas, green, raw(84.85% match #75120000); Beans, string, green, raw(66.67% match #75101800); Beans, lima, raw(66.67% match #75102000); "
"Peas, pigeon, boiled, drained","Peas, baby food, strained(62.96% match #76409010); Pears and pineapple, baby food, strained(60.87% match #67114010); "
Poi,Poi(100.0% match #71980100); 
"Pokeberry shoots, raw","Juneberry, raw(62.86% match #63126010); Boysenberries, raw(61.54% match #63205010); Huckleberries, raw(61.54% match #63214000); "
"Pokeberry shoots, boiled, drained",
"Potato, boiled with skin, skin only",
"Potato, hashed-brown, homemade","White potato, hash brown, from fresh(63.64% match #71405010); White potato, hash brown, from frozen(62.69% match #71405020); White potato, hash brown, with cheese(62.69% match #71405100); "
"Potato, mashed, homemade, prepared with whole milk and margarine",
"Potato, scalloped, homemade, with butter","Catfish, coated, fried, made with butter(67.5% match #26107141); Egg omelet or scrambled egg, made with butter(65.88% match #32130020); Potato salad, made with mayonnaise(64.86% match #71603010); "
"Potato, au gratin, homemade, with butter","Perch, coated, fried, made with butter(66.67% match #26127141); Trout, coated, fried, made with butter(66.67% match #26151141); Shrimp, coated, fried, made with butter(63.29% match #26319141); "
"Potato, canned, solids and liquid",
"Potato, mashed, dehydrated, granules without milk, unprepared",
"Potato, mashed, dehydrated, granules without milk, whole milk and butter added",
"Potato, mashed, dehydrated, granules with milk, unprepared",
"Potato, mashed, dehydrated, granules with milk, water and margarine added",
"Potato, au gratin, dry mix, unprepared","Pasta tetrazzini, dry mix, prepared with water(64.29% match #58148600); "
"Potato, au gratin, dry mix, prepared with water, whole milk and butter","Pasta tetrazzini, dry mix, prepared with water(65.52% match #58148600); "
"Potato, hashed brown, frozen, with butter sauce, unprepared","Peas, cooked, from frozen, with tomato sauce(60.19% match #75417032); "
"Potato, hashed brown, frozen, with butter sauce, prepared","Peas, cooked, from frozen, with tomato sauce(61.39% match #75417032); "
"Potato, O'brien, frozen, unprepared","Peas, from frozen, creamed(62.3% match #75417012); "
"Potato, O'brien, frozen, prepared","Peas, from frozen, creamed(64.41% match #75417012); "
"Potato, whole, peeled, frozen, unprepared",
"Potato, whole, frozen, boiled, drained",
"Potato, french-fried, frozen, restaurant prepared, fried in vegetable oil and animal fat",
"Potato, french-fried, frozen, extruded, unprepared",
"Potato salad, homemade","Potato salad, German style(75.0% match #71602010); Salsa, red, homemade(66.67% match #74402200); Potato chowder(61.11% match #71803010); "
"Pumpkin flowers, raw","Cauliflower, raw(72.22% match #75107000); Tuna, fresh, raw(61.11% match #26153100); "
"Pumpkin flowers, boiled, drained","Sunflower seeds, hulled, dry roasted(61.76% match #43102200); Cauliflower, batter-dipped, fried(61.54% match #75409020); "
"Pumpkin leaves, raw","Pineapple, raw(60.61% match #63141010); "
"Pumpkin leaves, boiled, drained","Prunes, baby food, strained(62.07% match #67110000); Peas, baby food, strained(60.71% match #76409010); "
"Pumpkin, canned","Squid, canned(71.43% match #26213190); Salmon, canned(68.97% match #26137180); Shrimp, canned(68.97% match #26319180); "
"Pumpkin pie mix, canned",
"Purslane, raw","Parsley, raw(80.0% match #75119000); Currants, raw(69.23% match #63117010); Pomegranate, raw(68.97% match #63145010); "
"Purslane, boiled, drained","Prunes, baby food, strained(65.38% match #67110000); Plums, baby food, strained(62.75% match #67304010); Cranberries, dried(60.47% match #62109100); "
"Radish, oriental (daikon), raw",
"Radish, oriental (daikon), boiled, drained",
"Radish, oriental (daikon), dried",
"Salsify (oysterplant, vegetable oyster), raw",
"Salsify (oysterplant, vegetable oyster), boiled, drained","Salsify (vegetable oyster), cooked, fat not added in cooking(62.07% match #75229010); "
"Sauerkraut, canned, solids and liquid","Sauerkraut, canned, low sodium(71.64% match #75230100); "
"Seaweed, agar, raw","Seaweed, raw(80.0% match #75127500); Sugar, raw(64.29% match #91104200); "
"Seaweed, irishmoss, raw","Seaweed, raw(68.57% match #75127500); "
"Seaweed, kelp (kombu, tangle), raw",
"Seaweed, dulse (laver, nori), raw",
"Sesbania flowers, raw","Cauliflower, raw(70.27% match #75107000); Seaweed, raw(60.61% match #75127500); "
"Sesbania flowers, steamed","Oysters, steamed(63.41% match #26315130); "
"Soybeans, green (edamame), raw","Peas, green, raw(65.22% match #75120000); "
"Soybeans, green (edamame), boiled, drained","Beans, green string, baby food, strained(60.98% match #76401010); "
"Soybeans, mature seeds, sprouted, bean sprouts, raw",
"Soybeans, mature seeds, sprouted, bean sprouts, steamed",
"Soybeans, mature seeds, sprouted, bean sprouts, stir-fried, no fat added",
"Spinach, raw","Spinach, raw(100.0% match #72125100); Apricot, raw(66.67% match #63103010); Spinach soup(66.67% match #72307000); "
"Spinach, boiled, drained","Spinach, from canned, creamed(67.92% match #72125233); Spinach, creamed, baby food, strained(65.57% match #76102010); Squash, baby food, strained(62.75% match #76205010); "
"Spinach, canned, solids and liquid",
"Spinach, frozen, unprepared","Spinach, from frozen, creamed(78.57% match #72125232); Spinach, from canned, creamed(71.43% match #72125233); Peas, from frozen, creamed(60.38% match #75417012); "
"Spinach, frozen, boiled, drained","Spinach, from canned, creamed(68.85% match #72125233); Spinach, creamed, baby food, strained(63.77% match #76102010); "
"Squash, summer, crookneck, raw","Squash, summer, green, raw(82.14% match #75128010); Squash, summer, souffle(67.92% match #75418060); Squash, summer, from fresh, creamed(61.54% match #75418051); "
"Squash, summer, crookneck, boiled, drained","Squash, summer, from canned, creamed(69.23% match #75418053); Squash, summer, casserole, with cheese sauce(62.79% match #75418040); "
"Squash, summer, crookneck, canned, drained solids","Pear, cooked or canned, drained solids(73.56% match #63137150); Plum, cooked or canned, drained solids(73.56% match #63143150); Rhubarb, cooked or canned, drained solids(73.33% match #63147150); "
"Squash, summer, crookneck, frozen, unprepared","Squash, summer, from frozen, creamed(79.01% match #75418052); Squash, summer, cooked, from frozen, fat added in cooking(66.67% match #75233022); Squash, summer, from canned, creamed(66.67% match #75418053); "
"Squash, summer, crookneck, frozen, boiled, drained","Squash, summer, from frozen, creamed(67.44% match #75418052); Squash, summer, from canned, creamed(65.12% match #75418053); Squash, summer, cooked, from canned, fat added in cooking(63.55% match #75233023); "
"Squash, summer, scallop, raw","Squash, summer, yellow, raw(87.27% match #75128000); Squash, summer, green, raw(77.78% match #75128010); Squash, summer, souffle(70.59% match #75418060); "
"Squash, summer, scallop, boiled, drained","Squash, summer, yellow, raw(68.66% match #75128000); Squash, summer, from canned, creamed(68.42% match #75418053); Squash, summer, souffle(63.49% match #75418060); "
"Squash, summer, zucchini, raw","Squash, summer, green, raw(80.0% match #75128010); Squash, summer, from frozen, creamed(67.69% match #75418052); Squash, summer, from canned, creamed(67.69% match #75418053); "
"Squash, summer, zucchini, boiled, drained","Squash, summer, from canned, creamed(67.53% match #75418053); "
"Squash, summer, zucchini, frozen, unprepared","Squash, summer, from frozen, creamed(75.0% match #75418052); Squash, summer, from canned, creamed(67.5% match #75418053); "
"Squash, summer, zucchini, frozen, boiled, drained","Squash, summer, from canned, creamed(65.88% match #75418053); Squash, summer, cooked, from frozen, fat added in cooking(60.38% match #75233022); "
"Squash, summer, zucchini in tomato juice, canned","Squash, summer, NS as to form, creamed(62.79% match #75418050); Squash, summer, from fresh, creamed(62.65% match #75418051); Squash, summer, from frozen, creamed(61.9% match #75418052); "
"Succotash, raw","Sugar, raw(66.67% match #91104200); Spinach, raw(61.54% match #72125100); Carrots, raw(61.54% match #73101010); "
"Succotash, boiled, drained","Squash, baby food, strained(67.92% match #76205010); Tomatoes, red, dried(60.87% match #74206000); "
"Succotash, canned with cream style corn",
"Succotash, canned with whole kernel corn, solids and liquid",
"Succotash, frozen, unprepared","Spinach, from frozen, creamed(62.07% match #72125232); Peas, from frozen, creamed(61.82% match #75417012); Squash, summer, from frozen, creamed(61.54% match #75418052); "
"Succotash, frozen, boiled, drained","Squash, baby food, strained(62.3% match #76205010); "
"Swamp cabbage (skunk cabbage, water convulvolus), raw",
"Swamp cabbage (skunk cabbage, water convulvolus), boiled, drained",
"Sweet potato leaves, raw","Sweet potato, fried(69.77% match #73410110); Sweet potato, candied(66.67% match #73406000); Sweet potato paste(66.67% match #91407120); "
"Sweet potato leaves, steamed","Sweet potato paste(73.91% match #91407120); Sweet potato, fried(68.09% match #73410110); Sweet potatoes, baby food, strained(66.67% match #76209010); "
"Sweet potato, raw","Sweet potato, fried(83.33% match #73410110); Sweet potato paste(80.0% match #91407120); Sweet potato, chips(77.78% match #73410210); "
"Sweet potato, baked, skin removed after baking",
"Sweet potato, boiled without skin","Sweet potato, canned without syrup(77.61% match #73407010); Sweet potato with fruit(67.86% match #73406010); Sweet potato, fried(65.38% match #73410110); "
"Sweet potato, canned, vacuum pack","Sweet potato, canned in syrup(74.19% match #73407020); Sweet potato, canned without syrup(71.64% match #73407010); Sweet potato, fried(61.54% match #73410110); "
"Sweet potato, canned, mashed","Sweet potato, casserole or mashed(78.69% match #73409000); Sweet potato, canned in syrup(77.19% match #73407020); Sweet potato, canned without syrup(70.97% match #73407010); "
"Sweet potato, frozen, unprepared","Sweet potato, french fries(72.41% match #73410300); Sweet potatoes, baby food, junior(64.62% match #76209020); Sweet potato paste(64.0% match #91407120); "
"Sweet potato, frozen, baked","Sweet potato, fried(78.26% match #73410110); Sweet potato, french fries(75.47% match #73410300); Sweet potato, yellow, Puerto Rican, cooked(63.77% match #73421000); "
"Taro, raw","Pear, raw(77.78% match #63137010); Carrots, raw(76.19% match #73101010); Chard, raw(73.68% match #72104100); "
"Taro, cooked","Bear, cooked(83.33% match #23323500); Caribou, cooked(81.48% match #23324100); Tannier, cooked(81.48% match #71950010); "
"Taro leaves, raw","Tomatoes, raw(68.97% match #74101000); Parsley, raw(64.29% match #75119000); Cress, raw(61.54% match #72110100); "
"Taro leaves, steamed","Frog legs, steamed(78.95% match #26203160); Escarole, creamed(64.86% match #72116230); Tea, leaf, unsweetened(61.9% match #92302000); "
"Taro shoots, raw","Carrots, raw(71.43% match #73101010); Tomatoes, raw(62.07% match #74101000); "
"Taro shoots, cooked","Lamb hocks, cooked(70.27% match #23111010); Ground hog, cooked(70.27% match #23331100); Heart, cooked(68.75% match #25120000); "
"Taro, Tahitian, raw","Pear, Japanese, raw(63.16% match #63137050); Tamarind, raw(62.5% match #63148750); "
"Taro, Tahitian, cooked","Turkey, tail, cooked(66.67% match #24205000); Raisins, cooked(64.86% match #62125110); Tripe, cooked(62.86% match #25170110); "
"Tomato, green, raw","Tomatoes, green, raw(94.74% match #74102000); Peas, green, raw(76.47% match #75120000); Cabbage, green, raw(70.27% match #75103000); "
"Tomato, red, ripe, canned with green chilies",
"Tomato products, canned, paste, no added salt","Tomatoes, from canned, stewed(62.16% match #74204013); "
"Tomato products, canned, puree, no salt added",
Tomato powder,Potato chowder(74.07% match #71803010); Tomato juice(64.0% match #74301100); Tomato aspic(64.0% match #74501010); 
"Tomato products, canned, sauce, with onions","Tomato noodle soup, canned, prepared with milk(65.17% match #74604600); "
"Turnip, boiled, drained","Turnips, from canned, creamed(65.38% match #75418103); Tuna, fresh, dried(63.41% match #26153170); Turnip, pickled(63.16% match #75534030); "
"Turnip greens, raw","Turnip, raw(75.86% match #75129000); Beet greens, raw(70.59% match #72101100); Peas, green, raw(64.71% match #75120000); "
"Turnip greens, boiled, drained","Tuna, fresh, coated, fried(64.29% match #26153140); Turnips, from canned, creamed(61.02% match #75418103); "
"Turnip greens, canned, solids and liquid","Turnip greens, canned, low sodium, cooked, fat added in cooking(64.08% match #72128520); "
"Turnip greens, frozen, unprepared","Turnips, from frozen, creamed(70.97% match #75418102); Turnips, from canned, creamed(64.52% match #75418103); "
"Turnip greens, frozen, boiled, drained","Turnips, from canned, creamed(62.69% match #75418103); "
"Turnip greens and turnips, frozen, unprepared",
"Turnip greens and turnips, frozen, boiled, drained",
"Vegetables, mixed, canned, solids and liquid",
"Vegetables, mixed, frozen, unprepared","Peas, from frozen, creamed(63.49% match #75417012); "
"Vegetables, mixed, frozen, boiled, drained","Vegetable and bacon, baby food, strained(65.85% match #76601010); Vegetable and chicken, baby food, strained(61.9% match #76605010); "
"Vine spinach, raw","Spinach, raw(75.86% match #72125100); "
"Waterchestnuts, Chinese, raw","Banana, Chinese, raw(66.67% match #63107070); Cabbage, Chinese, raw(65.31% match #75104000); Water chestnut(61.9% match #75235000); "
"Waterchestnuts, Chinese, canned, solids and liquid",
"Watercress, raw","Watercress, raw(100.0% match #72130100); Cress, raw(72.0% match #72110100); Loganberries, raw(68.75% match #63215010); "
"Waxgourd (Chinese preserving melon), raw",
"Waxgourd (Chinese perserving melon), boiled, drained",
"Winged beans (goa bean), green, raw",
"Winged beans (goa bean), green, boiled, drained",
"Winged beans (goa bean) leaves, raw",
"Winged beans (goa bean) tuber, raw",
"Yam, raw","Clams, raw(77.78% match #26303100); Jicama, raw(73.68% match #75111800); Lime, raw(70.59% match #61116010); "
"Yam, boiled, drained or baked",
"Yambean (jimaca), tuber, raw",
"Yambean (jimaca), tuber, boiled, drained",
"Borage, raw","Orange, raw(81.82% match #61119010); Corn, raw(70.0% match #75109600); Pomegranate, raw(66.67% match #63145010); "
"Borage, boiled, drained","Porgy, coated, fried(65.12% match #26133140); Tomatoes, red, dried(65.12% match #74206000); Beets, baby food, strained(61.22% match #76403010); "
"Chives, freeze-dried","Cherries, dried(68.57% match #62106000); Cherries, frozen(61.11% match #63115200); "
"Dock (sorrel), raw","Mackerel, raw(64.52% match #26121100); "
"Dock (sorrel), boiled, drained","Mackerel, coated, fried(60.38% match #26121140); "
"Eppaw, raw","Apple, raw(70.0% match #63101000); Eggplant, raw(69.57% match #75111200); Spinach, raw(63.64% match #72125100); "
"Drumstick (horseradish-tree), pods, raw",
"Drumstick (horseradish-tree), pods, boiled, drained",
"Kale, scotch, raw","Pepper, hot chili, raw(61.54% match #75121000); Waffle, oat bran(60.61% match #55206000); "
"Kale, scotch, boiled, drained",
"Leeks (bulb and lower-leaf portion), freeze-dried",
"Parsley, freeze-dried","Pastry, cheese-filled(61.9% match #58124210); Parsley, raw(60.61% match #75119000); "
"Beans, mung, mature seeds, sprouted, bean sprouts, canned, drained",
"Pepper, sweet, green, freeze-dried","Pepper, sweet, green, raw(77.97% match #75122100); Pepper, sweet, red, raw(70.18% match #75122200); "
"Radish, white icicle, raw","Squash, winter type, raw(65.31% match #73302010); Radish, raw(61.11% match #75125000); "
"Shallot, freeze-dried","Salmon, dried(64.71% match #26137170); "
"Squash, summer, all varieties, raw","Squash, summer, green, raw(80.0% match #75128010); Squash, summer, from fresh, creamed(69.57% match #75418051); Squash, summer, from frozen, creamed(65.71% match #75418052); "
"Squash, summer, all varieties, boiled, drained","Squash, summer, yellow or green, breaded or battered, fried(64.76% match #75418010); Squash,summer, yellow or green, breaded or battered, baked(61.54% match #75418000); Squash, summer, from canned, creamed(60.98% match #75418053); "
"Squash, winter, all varieties, raw","Squash, winter type, raw(72.41% match #73302010); Squash, summer, green, raw(66.67% match #75128010); Squash, winter, souffle(63.16% match #73305020); "
"Squash, winter, all varieties, baked","Squash, winter, souffle(61.02% match #73305020); "
"Sweet potato, canned, syrup pack, solids and liquid","Sweet potato, canned in syrup, with fat added in cooking(65.42% match #73407030); Sweet potato, canned without syrup(61.18% match #73407010); "
"Sweet potato, canned, syrup pack, drained solids","Sweet potato, canned in syrup(67.53% match #73407020); Sweet potato, canned in syrup, with fat added in cooking(65.38% match #73407030); Plum, cooked or canned, drained solids(60.47% match #63143150); "
"Tomato products, canned, sauce, spanish style",
"Beans, pinto, mature seeds, sprouted, raw",
"Beans, pinto, mature seeds, sprouted, boiled, drained",
"Carrot juice, canned","Carrot juice(75.0% match #73105010); Carrot chips, dried(61.54% match #73112000); Clams, canned(60.61% match #26303180); "
"Corn pudding , homemade",
"Potato, mashed, homemade, prepared with whole milk","Potato soup, cream of, prepared with milk(68.13% match #71801010); Potato soup, prepared with water(65.85% match #71801020); Tomato soup, cream of, prepared with milk(63.74% match #74601010); "
"Spinach souffle, homemade","Spinach souffle(75.0% match #72125240); Salsa, red, homemade(62.22% match #74402200); "
"Sweet potato, cooked, candied, homemade","Sweet potato, candied(70.0% match #73406000); Sweet potatoes, baby food, strained(62.16% match #76209010); Sweet potatoes, baby food, junior(61.11% match #76209020); "
"Tomato, red, ripe, stewed (scalloped with breadcrumbs)",
"Seaweed, agar, dried","Seaweed, dried(82.35% match #75232000); Seaweed, pickled(66.67% match #75513010); "
"Seaweed, spirulina, raw","Seaweed, raw(68.57% match #75127500); Seaweed, pickled(61.54% match #75513010); "
"Seaweed, spirulina, dried","Seaweed, dried(71.79% match #75232000); Seaweed, pickled(68.29% match #75513010); "
"Seaweed, wakame, raw","Seaweed, raw(75.0% match #75127500); Seaweed, pickled(61.11% match #75513010); "
"Pepper, hot chili, red or green, raw","Pepper, hot chili, raw(75.86% match #75121000); Pepper, sweet, green, raw(68.85% match #75122100); Pepper, sweet, red, raw(64.41% match #75122200); "
"Potato, O'brien, homemade","Salsa, red, homemade(66.67% match #74402200); "
"Potato pancake, homemade",Potato pancake(73.68% match #71701000); Potato chowder(63.16% match #71803010); 
"Radish seeds, sprouted, with seed, raw",
"Shallot, raw","Salmon, raw(78.26% match #26137100); Oats, raw(66.67% match #57602100); Tangelo, raw(66.67% match #61125000); "
"Artichoke (Globe, French), boiled, drained, with salt","Artichoke, globe (French), cooked, from canned, fat added in cooking(62.81% match #75201023); "
"Beans, snap (Italian, green or yellow), frozen, boiled, with salt",
"Beans, snap, yellow, frozen, boiled, with salt","Beans, string, yellow, from frozen, creamed or with cheese sauce(67.27% match #75404012); Beans, string, yellow, from canned, creamed or with cheese sauce(61.82% match #75404013); "
"Broccoli, frozen, spears, boiled, drained, with salt",
"Collards, boiled, drained, with salt","Cod, coated, fried, made without fat(63.89% match #26109143); Sunflower seeds, hulled, roasted, without salt(63.41% match #43102110); Carrots, cooked, from canned, with cheese sauce(60.24% match #73102253); "
"Cowpeas, boiled, drained, with salt","Sunflower seeds, hulled, roasted, without salt(64.2% match #43102110); Peanuts, roasted, without salt(61.54% match #42111110); Peanuts, dry roasted, without salt(60.87% match #42111210); "
"Potato, mashed, dehydrated, granules without milk, prepared with whole milk and margarine",
"Potato, mashed, homemade, prepared with whole milk and butter","Potato soup, prepared with water(64.52% match #71801020); Potato soup, cream of, prepared with milk(60.78% match #71801010); "
"Pickles, cucumber, sweet",
"Pickles, cucumber, sour",
"Pickle relish, hot dog",
"Pickle relish, sweet","Cucumber pickles, sweet(60.47% match #75503040); "
"Pickles, cucumber, sour, low sodium","Crackers, matzo, low sodium(64.52% match #54201010); Cracker, snack, low sodium(62.3% match #54205010); Cracker, cheese, low sodium(61.29% match #54205030); "
"Pickles, cucumber, sweet, low sodium","Crackers, matzo, low sodium(63.49% match #54201010); Cracker, cheese, low sodium(63.49% match #54205030); Cracker, 100% whole wheat, low sodium(60.27% match #54204010); "
"Mushroom, enoki, raw","Mushrooms, raw(76.47% match #75115000); Mushrooms, from frozen, creamed(62.75% match #75414012); "
"Pepper, sweet, yellow, raw","Pepper, sweet, red, raw(85.71% match #75122200); Pepper, poblano, raw(65.22% match #75121400); Pepper, Serrano, raw(65.22% match #75121500); "
"Radicchio, raw","Radicchio, raw(100.0% match #72124100); Radish, raw(80.0% match #75125000); Spinach, raw(61.54% match #72125100); "
"Squash, summer, zucchini, baby, raw","Squash, summer, green, raw(72.13% match #75128010); "
"Tomatillo, raw","Tomatoes, raw(81.48% match #74101000); Tangelo, raw(69.23% match #61125000); Tamarind, raw(66.67% match #63148750); "
"Tomato, sun-dried","Tomatoes, red, dried(70.27% match #74206000); Tomato juice(68.97% match #74301100); Tomato sandwich(68.75% match #74701000); "
"Tomato, sun-dried, packed in oil, drained",
"Fennel, bulb, raw","Fennel bulb, raw(96.97% match #75109010); "
"Pickle relish, hamburger",Pickled sausage(61.54% match #25221950); 
"Arugula, raw","Sugar, raw(72.73% match #91104200); Lettuce, arugula, raw(66.67% match #75113080); Rutabaga, raw(64.0% match #75127000); "
"Carrot, baby, raw","Carrots, raw(75.86% match #73101010); Carrots, baby food, strained(71.11% match #76201010); Carrots, baby food, junior(69.77% match #76201020); "
"Hearts of palm, canned","Salmon, canned(61.11% match #26137180); "
"Pepper, hot chili, red, sun-dried","Pepper, hot chili, raw(72.73% match #75121000); Pepper, sweet, red, raw(60.71% match #75122200); "
"Nopales (prickly pear), raw",
"Nopales (prickly pear), cooked",
"Cauliflower, green, raw","Cauliflower, raw(82.05% match #75107000); Cauliflower, from frozen, creamed(71.43% match #75409012); Squash, summer, green, raw(65.31% match #75128010); "
"Cauliflower, green, boiled","Cauliflower, pickled(73.91% match #75502010); Cauliflower, batter-dipped, fried(67.8% match #75409020); "
"Cauliflower, green, boiled, with salt","Sunflower seeds, hulled, roasted, without salt(62.65% match #43102110); "
"Cabbage, raw","Cabbage, red, raw(82.76% match #75105000); Cabbage, creamed(78.57% match #75407010); Rutabaga, raw(72.0% match #75127000); "
"Cabbage, boiled, drained","Cabbage, red, raw(73.17% match #75105000); Cabbage, red, pickled(71.11% match #75502510); Cabbage, mustard, salted(62.5% match #75502550); "
"Cucumber, raw","Cucumber, raw(100.0% match #75111000); Celery, raw(66.67% match #75109000); Mulberries, raw(64.29% match #63217010); "
"Artichoke (Globe, French), raw","Artichoke, Jerusalem, raw(65.45% match #75100750); "
"Artichoke (Globe, French), boiled, drained","Artichoke, globe (French), cooked, from canned, fat added in cooking(61.82% match #75201023); "
"Asparagus, canned, drained solids","Pear, cooked or canned, drained solids(73.24% match #63137150); Rhubarb, cooked or canned, drained solids(70.27% match #63147150); Plum, cooked or canned, drained solids(67.61% match #63143150); "
"Bamboo shoots, canned, drained solids","Pear, cooked or canned, drained solids(74.67% match #63137150); Plum, cooked or canned, drained solids(74.67% match #63143150); Rhubarb, cooked or canned, drained solids(74.36% match #63147150); "
"Beans, lima, baby, frozen, unprepared","Peas, from frozen, creamed(63.49% match #75417012); "
"Beans, lima, baby, frozen, boiled, drained","Beans, green string, baby food, strained(65.85% match #76401010); Peas, baby food, strained(65.67% match #76409010); Beets, baby food, strained(64.71% match #76403010); "
"Beans, snap (Italian, green or yellow), raw","Beans, string, green, raw(61.76% match #75101800); "
"Beans, snap (Italian, green or yellow), boiled, drained",
"Beans, snap (Italian, green or yellow), canned, drained solids","Cherries, sweet, cooked or canned, drained solids(63.06% match #63115150); Pear, cooked or canned, drained solids(62.0% match #63137150); "
"Beets, canned, drained solids","Pear, cooked or canned, drained solids(74.63% match #63137150); Pineapple, cooked or canned, drained solids(72.22% match #63141150); Plum, cooked or canned, drained solids(71.64% match #63143150); "
"Broccoli, raw","Broccoli, raw(100.0% match #72201100); Broccoflower, raw(80.0% match #75102600); Garlic, raw(66.67% match #75111500); "
"Broccoli, boiled, drained","Broccoli, batter-dipped and fried(68.97% match #72202030); Broccoli and chicken, baby food, strained(63.64% match #76604000); "
"Broccoli, frozen, chopped, unprepared",
"Broccoli, frozen, chopped, boiled, drained",
"Brussels sprouts, raw","Brussels sprouts, raw(100.0% match #75102750); Brussels sprouts, from fresh, creamed(68.97% match #75406011); Brussels sprouts, from frozen, creamed(67.8% match #75406012); "
"Brussels sprouts, boiled, drained","Brussels sprouts, raw(74.07% match #75102750); "
"Carrot, raw","Carrots, raw(95.65% match #73101010); Cilantro, raw(75.0% match #75109550); Cactus, raw(72.73% match #75105500); "
"Carrot, boiled, drained","Carrots, baby food, strained(74.51% match #76201010); Cranberries, dried(63.41% match #62109100); Carrots and peas, baby food, strained(63.33% match #76202000); "
"Carrot, canned, drained solids","Pear, cooked or canned, drained solids(76.47% match #63137150); Rhubarb, cooked or canned, drained solids(73.24% match #63147150); Plum, cooked or canned, drained solids(70.59% match #63143150); "
