Canadian Food,US Matches
"Whey, acid, fluid","Cream, light, fluid(61.11% match #12110100); "
"Whey, acid, dry","Whey, sweet, dry(70.97% match #11825000); "
"Whey, sweet, fluid","Whey, sweet, dry(82.35% match #11825000); Tamale, sweet, with fruit(60.47% match #53430750); "
"Whey, sweet, dry","Whey, sweet, dry(100.0% match #11825000); Pepper, sweet, red, raw(61.54% match #75122200); "
"Egg, chicken, dried, whole",
"Egg, chicken, dried, whole, stabilized",
"Egg, chicken, white, pan dried, flakes",
"Egg, chicken, white, dried, powder, glucose reduced",
"Egg, chicken, yolk, dried","Chicken, baby food, strained(60.38% match #24701010); "
"Egg, duck, whole, fresh, raw","Egg, whole, raw(69.77% match #31101010); Egg, whole, fried with margarine(63.33% match #31105020); Egg, whole, fried with butter(63.16% match #31105040); "
"Egg, goose, whole, fresh, raw","Egg, whole, raw(68.18% match #31101010); Egg, whole, fried with margarine(62.3% match #31105020); Egg, whole, fried with butter(62.07% match #31105040); "
"Egg, quail, whole, fresh, raw","Egg, whole, raw(68.18% match #31101010); Egg, whole, fried with margarine(62.3% match #31105020); Egg, whole, fried with butter(62.07% match #31105040); "
"Egg, turkey, whole, fresh, raw","Egg, whole, raw(66.67% match #31101010); Egg, whole, fried with margarine(61.29% match #31105020); Egg, whole, fried with butter(61.02% match #31105040); "
"Butter, unsalted","Butter, stick, unsalted(82.05% match #81101100); Butter, whipped, tub, unsalted(69.57% match #81101110); Butter, whipped, stick, unsalted(66.67% match #81101120); "
"Cheese, parmesan, shredded","Cheese, Parmesan, hard(83.33% match #14108020); Cheese, American, reduced fat(69.09% match #14410120); Cheese, American, reduced sodium(65.52% match #14410210); "
"Cheese, goat, hard, (less than 35% water, 36% M.F.)",
"Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.)",
"Cheese, goat, soft, (more than 55% water, 21% M.F.)",
Cheese fondue,Cheese fondue(100.0% match #14630100); Cheese sauce(72.0% match #14650100); Cheese souffle(66.67% match #14630200); 
"Cheese sauce, homemade","Cheese quiche, meatless(71.11% match #58125180); Salsa, red, homemade(61.9% match #74402200); Cheesecake, chocolate(60.47% match #53104600); "
"Cheese, Mexican, queso anejo","Cheese, Mexican blend(73.47% match #14120010); Cheese, Mexican blend, reduced fat(67.74% match #14120020); Cheese, American, reduced fat(66.67% match #14410120); "
"Cheese, Mexican, queso asadero","Cheese, Mexican blend(70.59% match #14120010); Cheese, Mexican blend, reduced fat(65.62% match #14120020); Cheese, American, reduced sodium(64.52% match #14410210); "
"Cheese, Mexican, queso chihuahua","Cheese, American, reduced sodium(65.62% match #14410210); Cheese, Mexican blend, reduced fat(63.64% match #14120020); Cheese, American, reduced fat(62.3% match #14410120); "
"Cheese, cheddar or colby type, low fat (7% M.F.)",
"Cheese, cheddar or colby type, low sodium","Cheese, Cheddar, reduced sodium(63.89% match #14110010); Cheese, cottage, lowfat, low sodium(63.16% match #14206010); "
"Cheese, cottage, (1% M.F.)","Cheese, cottage, NFS(78.26% match #14200100); Cheese, cottage, lowfat (1-2% fat)(73.33% match #14204010); Cheese, cottage, with vegetables(62.07% match #14202020); "
"Cheese, feta","Cheese, Feta(91.67% match #14104400); Cheese, cream(80.0% match #14301010); Cheese, Fontina(74.07% match #14104600); "
"Cheese, gouda","Cheese, goat(88.0% match #14104700); Cheese, Fontina(71.43% match #14104600); Cheese, Ricotta(71.43% match #14201500); "
"Cheese, mozzarella, (52% water, 22.5% M.F.)","Cheese, Mozzarella, NFS(60.61% match #14107010); "
"Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)","Cheese, Mozzarella, part skim(63.64% match #14107030); "
"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.",
"Milk, fluid, whole, pasteurized, homogenized, 3.25% M.F.",
"Milk, fluid, skim","Milk, cows, fluid, whole(63.41% match #11111000); Milk, cows, fluid, 2% fat(61.9% match #11112110); Milk, cows, fluid, 1% fat(61.9% match #11112210); "
"Milk, dry, skim, powder, instant",
"Hot chocolate, cocoa, homemade, prepared with whole milk","Hot chocolate, Puerto Rican style, made with whole milk(70.27% match #11512500); Hot chocolate, Puerto Rican style, made with low fat milk(61.95% match #11512510); "
"Egg substitute, frozen (yolk replaced)","Cream substitute, frozen(61.29% match #12210100); "
"Butter, regular","Butter, NFS(61.54% match #81100500); "
"Cheese, cheddar","Cheese, Cheddar(93.33% match #14104100); Cheese, cream(78.57% match #14301010); Cheese, goat(66.67% match #14104700); "
"Cheese, cottage, (2% M.F.)","Cheese, cottage, NFS(78.26% match #14200100); Cheese, cottage, lowfat (1-2% fat)(73.33% match #14204010); Cheese, cottage, with vegetables(62.07% match #14202020); "
"Coffee whitener (non dairy), powdered",
"Milk, fluid, whole, producer, 3.7% M.F.","Milk, cows, fluid, lactose reduced, 1% fat(61.73% match #11114300); Milk, cows, fluid, lactose reduced, 2% fat(61.73% match #11114330); "
"Milk, fluid, buttermilk, cultured, 1% M.F.",
"Egg, chicken, whole, fresh or frozen, raw",
"Egg, chicken, white, fresh or frozen, raw",
"Egg, chicken, yolk, fresh or frozen, raw",
"Egg, chicken, whole, cooked, fried","Mock chicken legs, cooked(64.41% match #23220020); Chicken, meatless, breaded, fried(62.69% match #41810610); Egg, whole, pickled(60.38% match #31107000); "
"Egg, chicken, whole, cooked, boiled in shell, hard-cooked",
"Egg, chicken, whole, cooked, poached","Egg, whole, boiled or poached (69.7% match #31103010); Egg, whole, cooked, NS as to cooking method(60.76% match #31102000); "
"Egg, chicken, whole, cooked, scrambled or omelet",
"Milk, dry, skim, powder, regular","Coffee, dry instant powder, regular(68.66% match #92191100); "
"Cream, table (coffee), 18% M.F.",
"Cream, whipping, 32% M.F.",
"Cream, whipping, 35% M.F.",
"Cream, sour, cultured, 14% M.F",
"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.",
"Cheese, cottage, uncreamed, dry, large or small curd, nonfat","Cheese, cottage, creamed, large or small curd(85.71% match #14201010); Cheese, cottage, salted, dry curd(64.52% match #14203020); "
"Cream, cereal (half and half), 10% M.F.","Cream, half and half(67.8% match #12120100); Cream, half and half, low fat(67.65% match #12120105); Cream, half and half, fat free(66.67% match #12120110); "
"Cream, table (coffee), 15% M.F.",
"Cream, sour, cultured, 18% M.F.",
"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.",
"Cheese, calorie-reduced (6% M.F.)","Cheese, Monterey, reduced fat(61.29% match #14106500); Cheese, provolone, reduced fat(60.32% match #14108420); "
"Cream, table (coffee), 20% M.F.",
"Dessert, frozen yogourt",
"Spices, allspice, ground",
"Spices, anise seeds",Sesame seeds(70.97% match #43103000); 
"Spices, basil, dried","Sardines, dried(62.86% match #26139170); Pie, apple, diet(61.11% match #53301750); Wine, table, red(61.11% match #93401010); "
"Spices, bay leaf",
"Spices, caraway seed","Tea, made from caraway seeds(62.5% match #92306050); "
"Spices, cardamom, ground",
"Spices, celery seed",
"Spices, chervil, dried","Pie, cherry, fried pie(63.64% match #53305080); "
"Spices, chili powder",Fish chowder(62.5% match #28350050); 
"Spices, cinnamon, ground","Bread, cinnamon, toasted(62.5% match #51113100); "
"Spices, cloves, ground",
"Spices, coriander leaf (cilantro), dried",
"Spices, coriander seed (cilantro)",
"Spices, cumin seed","Pickles, mixed(62.5% match #75511200); "
"Spices, curry powder","Postum, dry powder(63.16% match #92291300); "
"Spices, dill seed","Sardines, dried(62.5% match #26139170); "
"Spices, dill weed, dried","Seaweed, dried(68.42% match #75232000); "
"Spices, fennel seed",
"Spices, fenugreek seed",
"Spices, garlic powder",
"Spices, ginger, ground","Chicken, ground(64.86% match #24198720); "
"Spices, mace, ground","Chicken, ground(62.86% match #24198720); "
"Spices, marjoram, dried","Ice cream, fried(61.54% match #13126000); "
"Spices, mustard seed, yellow",
"Spices, nutmeg, ground","Chicken, ground(64.86% match #24198720); "
"Spices, onion powder",
"Spices, oregano, ground","Chicken, ground(63.16% match #24198720); "
"Spices, paprika",Rice paper(64.0% match #54319500); 
"Spices, parsley, dried","Pie, apple, diet(63.16% match #53301750); Wine, table, red(63.16% match #93401010); Seaweed, dried(61.11% match #75232000); "
"Spices, pepper, black",
"Spices, pepper, red or cayenne",
"spices, pepper, white","Wine, table, white(61.54% match #93401020); "
"Spices, poppy seed",
"Spices, poultry seasoning",
"Spices, pumpkin pie spice",
"Spices, rosemary, dried","Tomatoes, red, dried(60.47% match #74206000); "
"Spices, saffron",
"Spices, sage, ground","Chicken, ground(62.86% match #24198720); "
"Spices, savory, ground",
"Spices, tarragon, dried","Salmon, dried(61.11% match #26137170); "
"Spices, thyme, dried","Sardines, dried(62.86% match #26139170); Wine, table, red(61.11% match #93401010); Scallops, coated, fried(60.47% match #26317140); "
"Spices, turmeric, ground",
"Basil, fresh","Basil, raw(72.73% match #75109400); "
"Spices, dill weed, fresh",
"Salt, table","Goat, boiled(60.87% match #23150100); Salami, beef(60.87% match #25221530); Sugar, maple(60.87% match #91103010); "
"Spices, thyme, fresh",
Vanilla extract,
"Vanilla extract, imitation, with alcohol",
"Vanilla extract, imitation, without alcohol",
"Grains, barley, malt extract, dried",
"Babyfood, snack, biscuit, mixed grain",
"Babyfood, cereal, barley, with milk powder, dry",
"Babyfood, cereal, mixed grain, dry",
"Babyfood, cereal, mixed grain, prepared with formula or breast milk",
"Babyfood, cereal, mixed grain, with milk powder and fruit, dry",
"Babyfood, cereal, oat, dry",
"Babyfood, cereal, rice, with milk powder and fruit, dry",
"Babyfood, cereal, rice, dry",
"Animal fat, beef tallow",
